id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-18,CLI001,debito,250.00,Aluguel janeiro,transferencia
4,2026-01-22,CLI003,credito,4800.00,Freelance janeiro,transferencia
5,2026-01-28,CLI002,credito,1200.00,Bônus desempenho,salario
6,2026-02-03,CLI001,credito,3500.00,Salário fevereiro,salario
7,2026-02-08,CLI002,debito,320.00,Conta de luz,conta
8,2026-02-14,CLI003,credito,15000.00,Transferência suspeita,transferencia
9,2026-02-19,CLI001,debito,89.90,Streaming,assinatura
10,2026-02-25,CLI003,debito,450.00,Restaurante,compra
11,2026-03-01,CLI001,credito,3500.00,Salário março,salario
12,2026-03-05,CLI002,debito,99.90,Streaming,assinatura
13,2026-03-10,CLI003,debito,1200.00,Viagem,compra
14,2026-03-15,CLI002,credito,2800.00,Consultoria,transferencia
15,2026-03-20,CLI001,debito,75.00,Farmácia,compra
16,2026-03-25,CLI003,credito,12500.00,Investimento suspeito,transferencia
17,2026-04-02,CLI001,credito,3500.00,Salário abril,salario
18,2026-04-10,CLI002,debito,540.00,Supermercado,compra
19,2026-04-18,CLI003,credito,6000.00,Projeto especial,transferencia
20,2026-04-28,CLI001,debito,300.00,Manutenção,compra
3,2026-01-20,CLI001,debito,abc,Erro de sistema,compra
21,,CLI002,debito,200.00,Sem data,transferencia
22,2026-03-01,,debito,150.00,Sem cliente,compra
23,2026-04-10,CLI001,invalido,500.00,Tipo inválido,compra
24,2026-04-15,CLI002,debito,-100.00,Valor negativo,compra
